order_id,supplier_id,customer_id,sku,plant,order_date,promised_date,current_eta,ordered_qty,confirmed_qty,received_qty,on_hand,allocated,safety_stock,unit_price,contract_price,currency,customer_priority,supplier_risk,order_status,expected_exception
PO-10001,SUP-008,CUS-015,SKU-0018,PHX,2026-09-01,2026-09-12,2026-09-12,250,250,0,426,13,6,180.04,180.04,USD,STANDARD,LOW,OPEN,NO_EXCEPTION
PO-10002,SUP-007,CUS-046,SKU-0070,LAX,2026-08-07,2026-09-21,2026-09-20,40,40,0,179,18,13,14.16,14.16,USD,STANDARD,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10003,SUP-011,CUS-007,SKU-0012,LAX,2026-08-18,2026-09-16,2026-09-16,100,100,0,216,11,13,44.07,44.07,USD,STANDARD,HIGH,IN_TRANSIT,NO_EXCEPTION
PO-10004,SUP-020,CUS-024,SKU-0074,DAL,2026-08-15,2026-09-13,2026-09-21,20,20,0,56,7,14,136.07,136.07,USD,STANDARD,LOW,OPEN,LATE_SHIPMENT
PO-10005,SUP-006,CUS-024,SKU-0046,DAL,2026-08-10,2026-09-22,2026-09-20,60,60,0,14,6,13,201.51,201.51,USD,STANDARD,LOW,OPEN,INVENTORY_SHORTAGE
PO-10006,SUP-002,CUS-015,SKU-0005,ATL,2026-08-25,2026-09-22,2026-09-19,250,186,0,343,2,11,83.23,83.23,USD,HIGH,LOW,IN_TRANSIT,QUANTITY_SHORTFALL
PO-10007,SUP-008,CUS-048,SKU-0072,ATL,2026-08-10,2026-09-14,2026-09-11,100,100,0,274,12,16,77.03,69.45,USD,STANDARD,LOW,IN_TRANSIT,PRICE_MISMATCH
PO-10008,SUP-006,CUS-044,SKU-0055,PHX,2026-09-05,2026-09-25,,500,500,0,622,19,19,33.44,33.44,USD,HIGH,LOW,IN_TRANSIT,DATA_QUALITY
PO-10009,SUP-004,CUS-019,SKU-0056,DAL,2026-08-22,2026-09-24,2026-09-21,20,20,0,45,8,10,156.7,156.7,USD,STANDARD,MEDIUM,IN_TRANSIT,NO_EXCEPTION
PO-10010,SUP-006,CUS-035,SKU-0068,PHX,2026-08-27,2026-09-14,2026-09-12,150,150,0,300,0,8,94.75,94.75,USD,HIGH,MEDIUM,OPEN,NO_EXCEPTION
PO-10011,SUP-003,CUS-047,SKU-0063,PHX,2026-08-24,2026-09-21,2026-09-20,20,20,0,77,15,10,227.69,227.69,USD,HIGH,HIGH,OPEN,NO_EXCEPTION
PO-10012,SUP-012,CUS-029,SKU-0067,LAX,2026-08-27,2026-09-23,2026-10-03,150,150,0,238,7,7,80.32,80.32,USD,HIGH,LOW,IN_TRANSIT,LATE_SHIPMENT
PO-10013,SUP-002,CUS-015,SKU-0009,PHX,2026-08-25,2026-09-12,2026-09-10,40,40,0,8,2,20,24.47,24.47,USD,HIGH,HIGH,OPEN,INVENTORY_SHORTAGE
PO-10014,SUP-004,CUS-007,SKU-0056,ATL,2026-08-09,2026-09-24,2026-09-21,40,29,0,170,14,6,102.44,102.44,USD,STANDARD,LOW,CONFIRMED,QUANTITY_SHORTFALL
PO-10015,SUP-018,CUS-029,SKU-0018,LAX,2026-09-02,2026-09-15,2026-09-14,500,500,0,596,14,12,55.27,52.45,USD,STANDARD,HIGH,IN_TRANSIT,PRICE_MISMATCH
PO-10016,SUP-008,CUS-011,,LAX,2026-09-08,2026-09-13,2026-09-10,250,250,0,329,12,6,222.92,222.92,USD,STANDARD,HIGH,OPEN,DATA_QUALITY
PO-10017,SUP-018,CUS-043,SKU-0063,DAL,2026-08-10,2026-09-16,2026-09-15,60,60,0,160,6,6,106.14,106.14,USD,STANDARD,MEDIUM,OPEN,NO_EXCEPTION
PO-10018,SUP-017,CUS-011,SKU-0008,PHX,2026-08-09,2026-09-20,2026-09-19,20,20,0,62,19,7,221.3,221.3,USD,STANDARD,HIGH,OPEN,NO_EXCEPTION
PO-10019,SUP-020,CUS-006,SKU-0054,ATL,2026-08-24,2026-09-21,2026-09-19,150,150,0,227,10,12,145.93,145.93,USD,HIGH,HIGH,OPEN,NO_EXCEPTION
PO-10020,SUP-003,CUS-001,SKU-0059,PHX,2026-08-20,2026-09-19,2026-09-24,250,250,0,412,6,13,81.35,81.35,USD,STANDARD,MEDIUM,OPEN,LATE_SHIPMENT
PO-10021,SUP-018,CUS-046,SKU-0039,PHX,2026-08-21,2026-09-14,2026-09-12,60,60,0,17,4,13,109.66,109.66,USD,HIGH,LOW,OPEN,INVENTORY_SHORTAGE
